"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT03160898","A Study to Evaluate Efficacy, Safety and Tolerability of CK-2127107 in Patients With Amyotrophic Lateral Sclerosis (ALS)","FORTITUDE-ALS","Completed","No Results Available","Amyotrophic Lateral Sclerosis","Drug: CK-2127107|Drug: Placebo","Change from baseline to Week 12 in the percent predicted slow vital capacity (SVC)|Slope of change from baseline in the mega-score of muscle strength measured by hand held dynamometry and handgrip dynamometry from baseline to Week 12|Change from baseline to Week 12 in the ALS Functional Rating Scale - Revised (ALSFRS-R)|Mean plasma concentrations over time of CK-2127107 at Week 12","Cytokinetics|Astellas Pharma Inc","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","458","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CY 5022","July 24, 2017","March 7, 2019","March 7, 2019","May 19, 2017",,"April 5, 2019","St. Joseph's Hospital and Medical Center - Barrow Neurological Clinics, Phoenix, Arizona, United States|Cedars-Sinai Medical Center, Los Angeles, California, United States|University of California Irvine, Orange, California, United States|Forbes Norris MDA/ALS Research Center, San Francisco, California, United States|Stanford Hospital and Clinics, Stanford, California, United States|University of Colorado Hospital Anschutz Outpatient Pavilion, Aurora, Colorado, United States|Hospital for Special Care, New Britain, Connecticut, United States|George Washington University Medical Faculty Associates, Washington, District of Columbia, United States|University of Florida, Gainesville, Florida, United States|Mayo Clinic, Jacksonville, Florida, United States|Carol & Frank Morsani Center for Advanced Healthcare - University of South Florida, Tampa, Florida, United States|Emory Clinic, Atlanta, Georgia, United States|Duchossois Center for Advanced Medicine, Chicago, Illinois, United States|IU Health Neuroscience Center of Excellence, Indianapolis, Indiana, United States|University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|Johns Hopkins University - Outpatient Center, Baltimore, Maryland, United States|University of Massachusetts Memorial Medical Center/University of Massachusetts Medical School, Worcester, Massachusetts, United States|Michigan Medicine, Ann Arbor, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Hennepin County Medical Center, Minneapolis, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|Saint Louis University, Department of Neurology, Saint Louis, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Neurology Associates, P.C., Lincoln, Nebraska, United States|Hospital For Special Surgery, New York, New York, United States|Neurological Institute, Columbia University Medical Center, New York, New York, United States|SUNY Upstate Medical University, Syracuse, New York, United States|Neurosciences Institute, Neurology - Charlotte, Charlotte, North Carolina, United States|Duke Neurological Disorders Clinic, Durham, North Carolina, United States|Wake Forest School of Medicine, Winston-Salem, North Carolina, United States|Cleveland Clinic, Cleveland, Ohio, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Providence Brain and Spine Institute ALS Center, Portland, Oregon, United States|Oregon Health & Science University, Portland, Oregon, United States|Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States|Temple University School of Medicine, Philadelphia, Pennsylvania, United States|Vanderbilt University Medical Center - Clinical Research Center, Nashville, Tennessee, United States|Texas Neurology, Dallas, Texas, United States|Houston Methodist Hospital, Houston, Texas, United States|UTHSCSA Medical Arts and Research Center, San Antonio, Texas, United States|University of Vermont Medical Center, Burlington, Vermont, United States|University of Virginia Health System, Charlottesville, Virginia, United States|VCU Health - Ambulatory Care Center (ACC), Richmond, Virginia, United States|University of Washington Medical Center, Seattle, Washington, United States|West Virginia University, Dept. of Neurology, Morgantown, West Virginia, United States|Froedtert Memorial Lutheran Hospital, Milwaukee, Wisconsin, United States|Brain and Mind Centre, The University of Sydney, Camperdown, New South Wales, Australia|Department of Neurology, Westmead Hospital, Westmead, New South Wales, Australia|Royal Brisbane and Women's Hospital, Herston, Queensland, Australia|Flinders Medical Centre, Bedford Park, South Australia, Australia|The Perron Institute for Neurological and Translation Science, Nedlands, Western Australia, Australia|University of Calgary, Heritage Medical Research Center, Calgary, Alberta, Canada|Edmonton Kaye Clinic, Edmonton, Alberta, Canada|McMaster University Medical Centre, Hamilton, Ontario, Canada|London Health Sciences Centre University Hospital, London, Ontario, Canada|Sunnybrook Health Science Centre, Toronto, Ontario, Canada|Montreal Neurological Institute and Hospital, Montreal, Quebec, Canada|Centre de recherche du Centre Hospitalier de l'Universite de Montreal, Montréal, Quebec, Canada|Saskatoon City Hospital, Saskatoon, Saskatchewan, Canada|CHU de Quebec-Universite Laval, Hopital de l'Enfant Jesus, Quebec, Canada|Beaumont Hospital, Dublin, Ireland|University Medical Center Utrecht, Utrecht, Netherlands|Hospital San Rafael Servicio de Neurologia, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT03160898"
2,"NCT02872142","Efficacy and Safety of Plasma Exchange With Albutein® 5% in Patients With Amyotrophic Lateral Sclerosis",,"Active, not recruiting","No Results Available","Amyotrophic Lateral Sclerosis","Biological: Albutein 5%","Changes from baseline in the ALS Functional Rating Scale - Revised|Changes from baseline in forced vital capacity|Changes from baseline in cognitive function determined by the ALS - Cognitive Behavioral Screen test|Changes from baseline in the motor evoked potential in thenar and hypothenar eminence and anterior tibialis muscle determined by electromyography|Evaluation of quality of life using the ALS Assessment Questionnaire 40|Changes from baseline in plasma human apolipoproteins|Changes from baseline in cerebrospinal fluid human apolipoproteins|Changes from baseline in plasma beta-methylamino-L-alanine levels|Changes from baseline in cerebrospinal fluid beta-methylamino-L-alanine levels|Changes from baseline in absolute leukocyte count|Changes from baseline in plasma neurofilament analysis|Changes from baseline in cerebrospinal fluid neurofilament analysis","Grifols Therapeutics LLC|Grifols Biologicals, LLC","All","19 Years to 69 Years   (Adult, Older Adult)","Phase 2","12","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GBI1501","August 29, 2016","October 2019","October 2019","August 19, 2016",,"February 18, 2019","Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States",,"https://ClinicalTrials.gov/show/NCT02872142"
3,"NCT02623699","An Efficacy, Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Study of BIIB067 in Adults With Inherited Amyotrophic Lateral Sclerosis (ALS)",,"Recruiting","No Results Available","Amyotrophic Lateral Sclerosis","Drug: BIIB067|Other: Placebo","Number of Participants Experiencing Adverse Events (AEs) and Serious Adverse Events (SAEs)|Number of Participants With Clinically Significant Laboratory Assessment Abnormalities|Number of Participants With Clinically Significant Vital Sign Abnormalities|Number of Participants With Clinically Significant Physical Examination Abnormalities|Number of Participants With Clinically Significant Neurological Examination Abnormalities|Number of Participants With Clinically Significant 12-lead Electrocardiograms (ECGs) Abnormalities|PK Parameter of BIIB067 in Plasma: Maximum Observed Concentration (Cmax)|PK Parameter of BIIB067 in Plasma: Time to Reach Maximum Observed Concentration (Tmax)|PK Parameter of BIIB067 in Plasma: Area Under the Concentration-time Curve From Time Zero to Infinity (AUCinf)|PK Parameter of BIIB067 in Plasma: Area Under the Concentration-time Curve From Time Zero to the Time of the Last Measurable Concentration (AUClast)|PK Parameter of BIIB067 in Plasma: Apparent Terminal Elimination Half-life (t1/2)|PK Parameters of BIIB067 in CSF Levels: Terminal Elimination Half-life (t1/2)|Slope of Amyotrophic Lateral Sclerosis Functional Rating Scale-Revised (ALSFRS-R) Score|Change From Baseline in CSF Levels of SOD1 Protein.|Combined Assessment of Function and Survival (CAFS) Score|Change From Baseline in ALSFRS-R Score|Change From Baseline in Slow Vital Capacity (SVC)|Ventilation Assistance-free Survival (VAFS)|Overall Survival|Change From Baseline in Muscle Strength Measured by Handheld Dynamometry (HHD)|Change From Baseline in ALS Assessment Questionnaire (ALSAQ-5) Score|Change From Baseline in Fatigue Severity Scale (FSS) Score|Change From Baseline in EuroQol Five Dimension Five Level Questionnaire (EQ-5D-5L) Score|Change From Baseline in Work Productivity and Activity Inventory (WPAI) Score|Change From Baseline in Zarit Burden Interview (ZBI) Score|Change From Baseline in 36-Item Short Form Health Survey (SF-36) Score|Change From Baseline in Phosphorylated Axonal Neurofilament heavy chain (p-NFH) Concentration in CSF","Biogen|Ionis Pharmaceuticals, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 3","144","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","233AS101|2015-004098-33","January 20, 2016","May 29, 2020","May 29, 2020","December 8, 2015",,"July 4, 2019","Barrow Neurological Institute, Phoenix, Arizona, United States|University of California San Diego Medical Center, La Jolla, California, United States|Forbes Norris MDA/ALS Research Center, San Francisco, California, United States|Bioclinica Research, Orlando, Florida, United States|Emory University Hospital, Atlanta, Georgia, United States|Johns Hopkins University, Baltimore, Maryland, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Alliance for Multispecialty Research, Knoxville, Tennessee, United States|Leuven, Belgium|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|Montreal Neurological Institute, Montreal, Quebec, Canada|Paris, France|Ulm, Baden Wuerttemberg, Germany|Sheffield, South Yorkshire, United Kingdom",,"https://ClinicalTrials.gov/show/NCT02623699"
4,"NCT03679975","Riluzole Oral Soluble Film Swallowing Safety in Amyotrophic Lateral Sclerosis","ROSF","Terminated","No Results Available","Amyotrophic Lateral Sclerosis","Drug: Riluzole Oral Soluble film (ROSF) 50 mg","Difference from baseline in Penetration Aspiration Scale (PAS)","Aquestive Therapeutics|inVentiv Health Clinical|Covance","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","9","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","17MO1R-0012","April 4, 2018","September 26, 2018","December 21, 2018","September 21, 2018",,"January 21, 2019","University of Florida Center for Movement Disorders & Neuroscience, Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT03679975"
5,"NCT01622088","Phase 3 Extension Study of Dexpramipexole in ALS","ENVISION","Terminated","No Results Available","Amyotrophic Lateral Sclerosis","Drug: Dexpramipexole","Incidence of Adverse Events and Serious Adverse Events|Discontinuation of study treatment due to an Adverse Events|Changes in vital signs, clinical laboratory assessments (hematology, blood chemistry, and urinalysis), 12-lead electrocardiogram (ECGs), and body weight|Incidence of laboratory abnormalities|Change in Amyotrophic Lateral Sclerosis Functional Rating Scale (revised) (ALSFRS-R) score|Decline in sniff nasal inspiratory pressure (SNIP)|Time to death|Time to death or death equivalent (tracheostomy or permanent assisted ventilation (PAV), defined as use of noninvasive ventilation (NIV) for ≥ 22 hours per day for ≥ 10 days)","Knopp Biosciences|Biogen","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 3","616","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","223AS304|EUDRA CT #: 2011-006119-70","June 2012","February 2013","February 2013","June 18, 2012",,"December 15, 2017","Barrow Neurological Institute - St. Joseph's Hospital, Phoenix, Arizona, United States|University of California at San Francisco - Fresno, Fresno, California, United States|University of California, Irvine, Orange, California, United States|University of California, Davis, Sacramento, California, United States|California Pacific Medical Center, San Francisco, California, United States|Hospital for Special Care, New Britain, Connecticut, United States|Mayo Clinic - Jacksonville, Jacksonville, Florida, United States|University of Miami Miller School of Medicine, Miami, Florida, United States|University of South Florida Medical Center, Tampa, Florida, United States|Emory University, Atlanta, Georgia, United States|Northwestern University, Chicago, Illinois, United States|Indiana University, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|Johns Hopkins University School of Medicine, Baltimore, Maryland, United States|Massachusetts General Hospital, Charlestown, Massachusetts, United States|St. Mary's Health Care, Grand Rapids, Michigan, United States|Hennepin County Medical Center, Minneapolis, Minnesota, United States|Mayo Clinic - Rochester, Rochester, Minnesota, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Neurology Associates, P.C., Lincoln, Nebraska, United States|University of Nevada School of Medicine, Las Vegas, Nevada, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|Columbia University, New York, New York, United States|Research Foundation of the State University of New York, Syracuse, New York, United States|Carolinas Medical Center, Charlotte, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest University, Winston-Salem, North Carolina, United States|The Cleveland Clinic Foundation, Cleveland, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Providence ALS Center, Portland, Oregon, United States|Penn State Hershey Medical Center, Hershey, Pennsylvania, United States|ALS Center at Penn, Philadelphia, Pennsylvania, United States|Drexel University College of Medicine, Philadelphia, Pennsylvania, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Texas Neurology, Dallas, Texas, United States|Methodist Neurological Institute, Houston, Texas, United States|University of Texas Health Sciences Center, San Antonio, Texas, United States|University of Utah, Salt Lake City, Utah, United States|University of Virginia Health System, Charlottesville, Virginia, United States|University of Washington, Seattle, Washington, United States|Prince of Wales Hospital, Randwick, New South Wales, Australia|Westmead Hospital, Westmead, New South Wales, Australia|Royal Brisbane and Women's Hospital, Herston, Queensland, Australia|Calvary Health Care Bethlehem, Melbourne, Victoria, Australia|AZ St-Lucas, Gent, Belgium|UZ Leuven, Leuven, Belgium|Univ of Calgary / Foothills MC, Calgary, Alberta, Canada|CHUM - Hopital Notre Dame, Montreal, Quebec, Canada|Mcgill University, Montreal, Quebec, Canada|London Health Sciences Centre, London, Canada|Sunnybrook and Women's College and Health Sciences Centre, Toronto, Canada|University of British Columbia, Vancouver, Canada|CHRU de Lille - Hôpital Roger Salengro, Lille, France|Centre Hospitalier La Timone, Marseille, France|CHU Gui de Chauliac, Montpellier, France|CHU de Nice - Hôpital de l'Archet 1, Nice, France|Hôpital La Pitié Salpétrière, Paris, France|Charité - Universitätsmedizin Berlin, Berlin, Germany|Bergmannsheil Gmbh, Bochum, Germany|Medizinische Hochschule Hannover (MHH), Hannover, Germany|Universitätsklinikum Jena, Jena, Germany|University of Ulm, RKU, Ulm, Germany|Beaumont Hospital, Dublin, Ireland|Academisch Medisch Centrum, Amsterdam, Netherlands|UMC St. Radboud, Nijmegen, Netherlands|Universitair Medisch Centrum Utrecht, Utrecht, Netherlands|Hospital Universitario de Bellvitge, Barcelona, Spain|Hospital Vall d'Hebron, Barcelona, Spain|Hospital La Paz, Madrid, Spain|Hospital Carlos III, Madrid, Spain|Sahlgrenska Universitetssjukhuset, Göteborg, Sweden|Karolinska Universitetssjukhuset, Solna, Stockholm, Sweden|Queen Elizabeth Hospital, Birmingham, United Kingdom|Walton Centre for Neurology & Neurosurgery, Liverpool, United Kingdom|Kings College Hospital NHS Foundation Trust, London, United Kingdom|Newcastle University Hospital - Clinical Ageing Research Unit, Newcastle, United Kingdom|John Radcliffe Hospital, Oxford, United Kingdom|Sheffield Institute for Transnational Neuroscience, Sheffield, United Kingdom",,"https://ClinicalTrials.gov/show/NCT01622088"
6,"NCT03068754","Study of Acthar® Gel (Acthar) for Amyotrophic Lateral Sclerosis (ALS)",,"Active, not recruiting","No Results Available","Amyotrophic Lateral Sclerosis","Drug: Acthar|Drug: Placebo","Treatment Period: Scores on a scale for telephone-administered Amyotrophic Lateral Sclerosis Functional Rating Scale-Revised (ALSFRS-R)|Number of participants experiencing an adverse event during the Treatment Period|Number of participants experiencing an adverse event by the end of the Trial|Treatment Period: Spirometry (%)|Treatment Period: Scores on a scale for investigator-administered ALSFRS-R|Extension Period: Scores on a scale for investigator-administered ALSFRS-R","Mallinckrodt","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2|Phase 3","143","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","MNK14042068","June 22, 2017","October 2021","October 2021","March 3, 2017",,"July 22, 2019","Neuromuscular Research Center, Phoenix, Arizona, United States|Mayo Clinic - Arizona, Scottsdale, Arizona, United States|University of California San Diego, La Jolla, California, United States|Loma Linda University Health System, Department of Neurology, Loma Linda, California, United States|Keck School of Medicine, University of Southern California, Los Angeles, California, United States|University of California Los Angeles, Los Angeles, California, United States|University of California Irvine Medical Center, Orange, California, United States|California Pacific Medical Center, San Francisco, California, United States|University of California San Francisco, San Francisco, California, United States|Colorado Springs Neurological Associates, Colorado Springs, Colorado, United States|Georgetown University, Washington, District of Columbia, United States|George Washington University, Washington, District of Columbia, United States|University of Florida - McKnight Brain Institute, Gainesville, Florida, United States|University of South Florida, Tampa, Florida, United States|Emory University, Atlanta, Georgia, United States|Augusta University, Augusta, Georgia, United States|Indiana University-Neuroscience Center of Excellence/Goodman Hall, Indianapolis, Indiana, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University of Kentucky Chandler Medical Center, Lexington, Kentucky, United States|John Hopkins Outpatient Center, Baltimore, Maryland, United States|University of Massachusetts Medical School, Worcester, Massachusetts, United States|Mercy Health- Saint Mary's, Grand Rapids, Michigan, United States|Neurology Associates, Lincoln, Nebraska, United States|University of Nebraska Medical Center - Physicians Clinical Neurosciences Center, Omaha, Nebraska, United States|Las Vegas Clinic, Las Vegas, Nevada, United States|Jersey Shore University Medical Center, Neptune, New Jersey, United States|Columbia Presbyterian Hospital, New York, New York, United States|Providence ALS Center, Portland, Oregon, United States|Penn State Health Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States|Temple University School of Medicine, Philadelphia, Pennsylvania, United States|Allegheny General Hospital, Pittsburgh, Pennsylvania, United States|Wesley Neurology Clinic, Cordova, Tennessee, United States|Austin Neuromuscular Center, Austin, Texas, United States|Texas Neurology, P.A., Dallas, Texas, United States|The Methodist Hospital, Houston, Texas, United States|University of Vermont Medical Center, Colchester, Vermont, United States|VCU Medical Center, Richmond, Virginia, United States|Swedish Neuroscience Institute, Seattle, Washington, United States|Medical College of Wisconsin/Froedtert Hospital, Milwaukee, Wisconsin, United States|IADIN, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|STAT Research, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|DIABAID, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|INEBA, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Hospital Italiano de Buenos Aires, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Hospital Español, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|Hospital Británico de Buenos Aires, Ciudad Autonoma de Buenos Aires, Buenos Aires, Argentina|ILAIM, Ciudad de Córdoba, Córdoba, Argentina|Fundación Scherbovsky, Ciudad de Mendoza, Mendoza, Argentina|Instituto de Neurología y Neurorrehabilitación del Litoral (INNeL ), Ciudad De Santa Fe, Santa Fe, Argentina|Edmonton Kaye Clinic, Edmonton, Alberta, Canada|Recherche Sepmus inc, Greenfield Park, Quebec, Canada|Centre de recherché du Centre Hospitalier de l'Universite de Montreal (CRCHUM), Montréal, Quebec, Canada|Montreal Neurological Institute & Hospital, Montréal, Quebec, Canada|Centro de Trastornos del Movimiento (CETRAM), Santiago, Región Metropolitana, Chile|Clinica Dávila, Santiago, Región Metropolitana, Chile|Biomedica Research Group AV Salvador 149, oficina 1101, Santiago, Chile|Centro de Investigaciones Clínicas SAS, Cali, Colombia|Clinical Research Institute Saltillo S.A. de C.V., Saltillo, Coahuila, Mexico|Hospital Universitario ""Dr. José Eleuterio González"", Monterrey, Nuevo Leon, Mexico|SMIQ BRCR Global México, Querétaro City, Querétaro, Mexico|Clinical Research Institute S.C., San Lucas Tepetlacalco, Tlalnepantla De Baz, Mexico|Centro Especializado en Investigación Clínica S.C., Boca Del Río, Veracruz, Mexico|Phylasis Clinicas Research, Mexico City, Mexico|FAICIC Clinical Researc, Veracruz, Mexico|Hospital Nivel IV Carlos Alberto Seguin Escobedo, Arequipa, Peru|Hospital Nacional IV Alberto Sabogal Sologuren, Callao, Peru|Hospital Almenara, Lima, Peru|Instituto Neuro Cardiovascular de las Américas, Lima, Peru|Hospital Nacional Cayetano Heredia, Lima, Peru",,"https://ClinicalTrials.gov/show/NCT03068754"
7,"NCT02588677","Masitinib in Combination With Riluzole for the Treatment of Patients Suffering From Amyotrophic Lateral Sclerosis (ALS)",,"Completed","No Results Available","Amyotrophic Lateral Sclerosis (ALS)","Drug: Masitinib (4.5)|Drug: Riluzole|Drug: Placebo|Drug: Masitinib (3.0)","Change in Amyotrophic Lateral Sclerosis functional rating scale (ALSFRS)-Revised|Change of Forced Vital Capacity (FVC)|Progression Free Survival|Overall Survival","AB Science","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","394","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","AB10015","April 2013","December 5, 2016","March 2018","October 28, 2015",,"December 17, 2018","Hospital Carlos III, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT02588677"
8,"NCT03843710","31P-MRS Imaging to Assess the Effects of CNM-Au8 on Impaired Neuronal Redox State in Amyotrophic Lateral Sclerosis (REPAIR-ALS)","REPAIR-ALS","Not yet recruiting","No Results Available","Amyotrophic Lateral Sclerosis","Drug: Gold Nanocrystals","Change in 31P-MRS Redox Ratio (NAD+/NADH)","Clene Nanomedicine|University of Texas Southwestern Medical Center","All","35 Years to 75 Years   (Adult, Older Adult)","Phase 2","24","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CNMAu8.203","July 1, 2019","July 2020","August 2020","February 18, 2019",,"June 3, 2019","UT Southwestern, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT03843710"
9,"NCT01492686","Phase 3 Study of MCI-186 for Treatment of Amyotrophic Lateral Sclerosis",,"Completed","Has Results","Amyotrophic Lateral Sclerosis (ALS)","Drug: MCI-186|Drug: Placebo|Drug: MCI-186 in open label phase","Change From Baseline in Revised ALS Functional Rating Scale (ALSFRS-R) Score in Full Analysis Set (FAS) Population at 24 Weeks|Number of Participants With Death or a Specified State of Disease Progression|Change From Baseline in % Forced Vital Capacity (%FVC) in Full Analysis Set (FAS) Population at 24 Weeks|Change From Baseline in Modified Norris Scale Score in Full Analysis Set (FAS) Population at 24 Weeks|Change From Baseline in ALS Assessment Questionnaire (40 Items) (ALSAQ40) in Full Analysis Set (FAS) Population at 24 Weeks|Percentage of Participants With Adverse Events|Percentage of Participants With Adverse Drug Reactions|Laboratory Tests Percentage of Participants With Adverse Events by System Organ Class (SOC) of ""Investigations"" (PT, MedDRA Ver. 17.0)|Percentage of Participants With Abnormal Values in Sensory Examinations","Mitsubishi Tanabe Pharma Corporation","All","20 Years to 75 Years   (Adult, Older Adult)","Phase 3","137","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","MCI186-19","December 2011","September 2014","October 2014","December 15, 2011","December 31, 2018","December 31, 2018","Osaka, Japan",,"https://ClinicalTrials.gov/show/NCT01492686"
10,"NCT01906658","A Study to Explore the Safety and Tolerability of Acthar in Patients With Amyotrophic Lateral Sclerosis",,"Completed","Has Results","Amyotrophic Lateral Sclerosis","Drug: Repository corticotropin injection","Proportion of Subjects With Adverse Events (AEs) That Required Study Drug Discontinuation or Could Not be Controlled With Concomitant Medication|Proportion of Subjects With Adverse Events That Required Study Drug Discontinuation|Proportion of Subjects With Adverse Events That Could Not be Controlled by Concomitant Medication|Proportion of Subjects With Treatment Emergent Suicidality","Mallinckrodt","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","43","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QSC01-ALS-01","July 2013","November 2014","December 2014","July 24, 2013","January 6, 2017","January 6, 2017","Questcor Investigational Site, Birmingham, Alabama, United States|Questcor Investigational Site, Phoenix, Arizona, United States|Questcor Investigational Site, San Francisco, California, United States|Questcor Investigational Site, Stanford, California, United States|Questcor Investigational Site, Jacksonville, Florida, United States|Questcor Investigational Site, Miami, Florida, United States|Questcor Investigational Site, Tampa, Florida, United States|Questcor Investigational Site, Atlanta, Georgia, United States|Questcor Investigational Site, Kansas City, Kansas, United States|Questcor Investigational Site, Rochester, Minnesota, United States|Questcor Investigational Site, Lincoln, Nebraska, United States|Questcor Investigational Site, Hershey, Pennsylvania, United States|Questcor Investigational Site, Pittsburgh, Pennsylvania, United States|Questcor Investigational Site, Memphis, Tennessee, United States|Questcor Investigational Site, Dallas, Texas, United States|Questcor Investigational Site, Houston, Texas, United States|Questcor Investigational Site, San Antonio, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01906658"
